molecule_chembl_id,MIC,InChI,MW,violations,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES
CHEMBL4437232,0.031,KYKNTIAQEZNAMR-JHVJFLLYSA-N,466.22162006,0.0,1.5086383061657274,1.177525329421222,CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)c2ccccc2NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C1=O
CHEMBL4436768,0.06,UIVOVTRFCXPRMH-HXUWFJFHSA-N,351.174690544,0.0,1.2218487496163564,0.767681403121244,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2cccc(F)c2)cc1
CHEMBL4436354,0.03,LDBTZICVDXWKTR-NRFANRHFSA-N,347.19976242,0.0,1.5228787452803376,1.0637860604144966,CC(C)C[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL439732,0.013,CFFLNHOSQKZMAN-XMSQKQJNSA-N,457.2210693560001,0.0,1.8860566476931635,1.5465303253914555,CCCCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL424170,0.025,HVCRYOZBFZLNFW-UHFFFAOYSA-N,283.179695672,0.0,1.6020599913279625,1.0544276547339684,CCC(C)(C)n1c(C)cc2c3c(N)nc(N)nc3ccc21
CHEMBL3984743,0.03125,HNWAOXQUAXIEIQ-NRFANRHFSA-N,409.180169848,0.0,1.505149978319906,1.1173625210674,CC(C)COC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL3979889,0.03125,IRPWNLLRPUUENV-FQEVSTJZSA-N,377.173941596,0.0,1.505149978319906,1.0820025043644006,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL3970008,0.0625,GWVWZJDELXVCNR-NRFANRHFSA-N,391.18959166,0.0,1.2041199826559248,0.7968195778967259,Cc1ccc(-c2ccc(C(=O)N[C@@H](Cn3ccnc3)C(=O)OC(C)C)cc2)cc1
CHEMBL3956100,0.0625,CEJFJBITCCNTOY-FQEVSTJZSA-N,395.164519784,0.0,1.2041199826559248,0.801193990520692,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL3936561,0.03125,KRXJOWDVRBTAGW-NRFANRHFSA-N,391.18959166,0.0,1.505149978319906,1.097849573560707,CC(C)COC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL3900609,0.0625,QTNKNAQUMIUIRO-FQEVSTJZSA-N,395.164519784,0.0,1.2041199826559248,0.801193990520692,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2cccc(F)c2)cc1
CHEMBL3892576,0.0625,YIJUYZNEIGFWAF-HXUWFJFHSA-N,410.175418816,0.0,1.2041199826559248,0.817379184563092,CC(C)COC(=O)[C@@H](Cn1cncn1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL38159,0.013,BRAZNJQIXWNAQG-AUSIDOKSSA-N,471.2367194200001,0.0,1.8860566476931635,1.559643336466725,CCCCCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616820,0.03125,MUJRDXNBGYOUQB-JCQPUDPBSA-N,485.113330476,0.0,1.505149978319906,1.191331161716214,C[C@@H](N1Cc2cc(-c3cncc(F)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616818,0.0156,KAHLMCCGECFGDN-JBEBIEQOSA-N,497.1333169720001,0.0,1.8068754016455384,1.5036920558385014,COc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cn1
CHEMBL3616817,0.0156,VUAALWWYFYDRHI-JBEBIEQOSA-N,492.118001256,0.0,1.8068754016455384,1.499291336349122,C[C@@H](N1Cc2cc(-c3cncc(C#N)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616815,0.03125,RXQLCBKSOYBQOY-MCMMXHMISA-N,468.11800125600007,0.0,1.505149978319906,1.175849376541815,C[C@@H](N1Cc2cc(-c3cncnc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616814,0.0156,OLNLNBKXLSTQPH-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2cc(-c3cccnc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616813,0.0156,HXZMEXGFPORYGF-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2cc(-c3ccncc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616811,0.0156,GZXMIQBHXYDVEJ-SGANQWHYSA-N,491.1227522880001,0.0,1.8068754016455384,1.4984192463760049,C[C@@H](N1Cc2cc(-c3ccc(C#N)cc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616810,0.0156,DNNPHCYACJSVMF-JBEBIEQOSA-N,484.1180815080001,0.0,1.8068754016455384,1.492171872153916,C[C@@H](N1Cc2cc(-c3cccc(F)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616809,0.0156,YZTOOEAHLCYMNV-JBEBIEQOSA-N,484.1180815080001,0.0,1.8068754016455384,1.492171872153916,C[C@@H](N1Cc2cc(-c3ccc(F)cc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616805,0.0156,REKSZTABTIWBLM-SGANQWHYSA-N,496.1380680040001,0.0,1.8068754016455384,1.5028287669031433,COc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cc1
CHEMBL3616803,0.03125,WXIAQMVUQRKFRK-PUAOIOHZSA-N,480.1431533840001,0.0,1.505149978319906,1.1868795223666042,Cc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cc1
CHEMBL3616802,0.0156,SUXJPJYNKXNVME-OYLFLEFRSA-N,466.1275033200001,0.0,1.8068754016455384,1.4757391520851844,C[C@@H](N1Cc2cc(-c3ccccc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616801,0.0156,KPYJZANJFUEYIQ-MLCYQJTMSA-N,468.0067152600001,0.0,1.8068754016455384,1.478336135238631,C[C@@H](N1Cc2cc(Br)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616800,0.0156,RWBHRWOWSGMNEC-JCQPUDPBSA-N,498.12856594,0.0,1.8068754016455384,1.5045536321351791,COc1ncc(-c2cc3c(s2)CN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3=O)cn1
CHEMBL3616799,0.0078,FMCBXUBRSHPACC-JCQPUDPBSA-N,485.113330476,0.0,2.10790539730952,1.7940865807058275,C[C@@H](N1Cc2sc(-c3cncc(F)c3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
